x,y
8.63,3.1260000000000003
9.088578643762691,3.2260000000000004
9.542132034355966,3.338132034355964
9.939619407771255,3.585619407771256
10.29317279836453,3.9391727983645297
10.43,4.382497115745561
10.58,4.820365081389596
10.58,5.320365081389596
10.371852454804888,5.734147545195114
9.930609665440986,5.876
9.492741699796952,5.726
9.10616702985565,5.45216702985565
8.723324317381032,5.169324317381031
8.355126265847085,4.851126265847085
7.9576388924317945,4.6036388924317935
7.510508652763324,4.476
7.04550685807583,4.39150685807583
6.634772721475255,4.176
6.206598128423233,4.002598128423233
5.8237554159486145,3.719755415948615
5.48,3.3914328932550806
5.5044426355853275,2.9015573644146735
5.88172439427029,2.676
6.381724394270283,2.676
6.881724394270277,2.676
7.38172439427027,2.676
7.807996026178581,2.8539960261785815
7.83,2.8760000000000003
